CUSTOMER COMMENT,Reason
"Querries where Kotak is at disadvantageous position, are either not attended or attended casually so as to close it without taking note of clients contention.Brokerage, DP charges, Pleding charges and also Interest rate are much higher than prevailing in market.",SERVICE
1) Same-day money deduction even if we have margin positions. Please see how ICICI do.2) Competitive interest rates on Margin trading. PLease see the plans of ICICI.,APPLICATION (WEB/APP)
Ndejjejdjx,NOT SPECIFIED
Worst website trading,APPLICATION (WEB/APP)
"No technical support at real time, application not smmoth every qeek it get errors and glitches no customer support available in urgent basis",SERVICE
Need knowledge and experience person,SERVICE
Please revisit my Brokerage and deemat charges. There are many service providers giving competitive rates. Looking forward for quick solution.,CHARGES(BRO./DP/LPC ETC.)
I’m waiting for resolution or a meeting with Mr Uday KOTAK is on the cards let see.,SERVICE
I dint interacted so my rating may be a bias better not to consider on employees rating,SERVICE
No issues with the RM,SERVICE
Pls solve aror problem as soon as possible,SERVICE
User interface of App is not smooth.I think a big company like u must think why zerodha is number one in this segment.Now question is that why i am using ur services if i am not satisfied with ur user interface this due to only no brokerage for intraday trading.But now mstock is also come with this facility so I dont know for how many days i will continue with ur service.,APPLICATION (WEB/APP)
its a bad app which particularly goes off on ipo listing days,APPLICATION (WEB/APP)
Introduced feature which shows required margin in a basket order,APPLICATION (WEB/APP)
Hw much time call you.. message uBut no reply,SERVICE
"Very Disappoint about charges, no one help for same.",CHARGES(BRO./DP/LPC ETC.)
Please call atleast,SERVICE
"Pathetic if ur management is listening, follow ethics in trade keep up to your reputation",SERVICE
They are not trained enough to answer the derivatives queries,SERVICE
Feedback already provided by way of ratings,SERVICE
22/12/2022Allready 1 week is completed but refund amount is credit on trading account... Why... Solve its urgently...,SERVICE
Very bad experience. Cannot log into my account... Getting internal server error... This has not been resolved for more than 10 days.  The person in bangalore kotak securities office is not responding even though I have called 10 times..How can I trade? Please resolve this issue Asap.,APPLICATION (WEB/APP)
No,NOT SPECIFIED
Super,NOT SPECIFIED
"Poor risk management team experience, i have some margin traded positions which i`m carrying for some time. I do not understand why risk management team randomly squares off my delivery shares without calling me? This is extremely frustrating they have squared off shared from my portfolio without my consent. I would like a written explanation as I may seek legal advise and take this up with a complaint to SEBI.",SERVICE
"No representatives is knowledgeable , query is not read or addressed by the team for the follow up and every time query should be explained from first to each .",SERVICE
"why did you shift my dmat code in digital?i have never requested nor i know how to operate why do you change repeatedly Dmat Dealer person of my account as every time i call the concern person say my code is no longer with him??also, Nishant Mehta i called him many times he promises every time to do the needful did nothing and never called back please allocate one person for my Dmat account who calls me regularly and help me in trade",PROCESS
Call sarvis not working,SERVICE
How to set target price is not given. Executed price is not aqurate.,APPLICATION (WEB/APP)
I was unable to withdraw amount from my demat account. The app mentioned of arranging a callback in half an hour. I did not receive callback in half hour. This kind of service deserves zero points.,SERVICE
Awesome app and nice customer support,NOT SPECIFIED
I have loss. Of rs 250000 on 06/12/2022 because of your app fault I have complaint about it but it has not solved till now,APPLICATION (WEB/APP)
Nothing,NOT SPECIFIED
Good jokko huikogg,NOT SPECIFIED
Why my account suspendFive days please solve my problem,APPLICATION (WEB/APP)
I didnt know  till now who was my dealer  This was the First dealer who handle my call,SERVICE
I have not been able to use online trading as  Change Password  function is not working.Even visit to the regional office in Sector 16 Noida has not improved matter,APPLICATION (WEB/APP)
🤫,NOT SPECIFIED
Not satisfactory,NOT SPECIFIED
Bad experience with this broker 😭😭😭Approximately 2 lakes rupees charged brokerage on my options trading where there’s no reason. I’m cheated and trapped by kotak security 😭😭😭,CHARGES(BRO./DP/LPC ETC.)
Not receiving any recommendation either thro regular message or thro your representatives. I feel the brokerage charges are no a higher end with Kotak Securities,CHARGES(BRO./DP/LPC ETC.)
Still not solve my problems,SERVICE
Awful support,PEOPLE
Customers are God said Mahatma Gandhi so respect customers not thier problems. 1 month onwards my problem not solving. Dont do others like this situation. Im suffering from 1 month this issue. Till now not solved my problem. Please solve my problem as soon as possible. Thank you,SERVICE
No one can receive my cell,SERVICE
Very un professional,SERVICE
"I didnot get cashback of brokerage of trades done in my birthday month in December, 2020.Also give me immediate replacement of existing dealer Ms. Chhavi, since she calls me very rarely, by a dealer with sound knowledge of share market, movement, trades in equity & F&O, where & when to buy- which shares to buy & put stoploss, probable target etc.So please acknowledge & do the needful immediately.",CHARGES(BRO./DP/LPC ETC.)
Have to add trade details  of any day on  quarterly basis or annual in kotak securities application,APPLICATION (WEB/APP)
interaction with customersupport to Customervalues to Customer,PEOPLE
"1. How to know who is my dealer and his contact number 2. Dealer always call after 5 pm3. They give one call and if busy or away in another room, simply auto generated email taunts that they made an attempt to call4. They Ms. Chandini asks too many questions before answering a straight question. Newbies loaded onto high network clients5. Unable to see my monthly brokerage and interest charges for past 2 years6. Maybe complaining to sebi will get me responses",SERVICE
Not getting support from the staff. they are just redirecting the issue from Kotak bank to Kotak securities and vice-versa.,SERVICE
Stop loss for delivery tradesIntraday to delivery convert optionSticky order window,APPLICATION (WEB/APP)
Poor customer care service,SERVICE
Customer care service should be more easier to connect and most important sl and tsl facilities should be add in option trading.,SERVICE
Cannot login. Each time I contact customer service I get another dealer and I will have to explain my problem again and again. After giving all explanation still no resolution or call back from your dealer.Dealer is not giving me their Mobile number.Homi Bharucha. HS112,SERVICE
"Everything is fine except trading platform. When i try to buy a scrip from chart it takes me to trade page which is not neccessory as i want to scalp points quickly, if kotak securities adds a feature like teade on chart, see profit and loss on the same page like other trading platform ot would be nice and fun to use, i have to open 2 tabs  of the same page which is not good.for a scalper.if kotak adds function to trade and check profit/loss tabs on the same screen then i will be trading on kitak again.",APPLICATION (WEB/APP)
Transparency or honi chiye or aap technically achha hona chiye(real time),APPLICATION (WEB/APP)
No customer satisfaction ensured even you have a big amount traded.major improvement in the App & customer queries.,APPLICATION (WEB/APP)
Relationship executive not contacted since last two days even after call back suggestions as all times his phone was busy.,SERVICE
Other brokerage firms are charging much lesser then kotak securities along with providing guidance.,CHARGES(BRO./DP/LPC ETC.)
Not called,NOT SPECIFIED
teacher appoint for new playing,SERVICE
Caller is not good.,SERVICE
Being responsible executive at least comply the query which sent to you through email.,SERVICE
Yes your customer service need improvement,SERVICE
the service tickets are pending for 4 weeks now,SERVICE
Very good sabne ache se bat ki aur problem solve karne mein help kiya,NOT SPECIFIED
improve yourself,NOT SPECIFIED
Nobody is addressing core escalation and sending just nonsense reply.,SERVICE
Not good,NOT SPECIFIED
Ask query was not able to reply.Disconnected conversation in between. Also call back request placed many times but call back never,SERVICE
No botheration to call the client ever,SERVICE
calls not picked up at all no updates about technical glitches on the website like zerodha..yes no hiding facts here..blatant truth..,SERVICE
Because no solution was found.,SERVICE
Thank You,NOT SPECIFIED
Kotak stock traders app is not working properly..filter features are not accurately working on equity super multiple,APPLICATION (WEB/APP)
No competent person available to rectify the problem of access to tradesmart terminal.Dealers/Asistants are not available when problems arrive. Even if threre are two.This is perticularly with tradesmart0brokerage plan. For dealer assisted plan there is prompt service.,APPLICATION (WEB/APP)
"Dear Team,i want to change my RM , Neha madam is not responding my call or no given any updated on market or any recommendation or guide me  ,she is not helping me ,request to please take a necessary actin on imitated basis",SERVICE
Broker charge very high,CHARGES(BRO./DP/LPC ETC.)
Worst servicesQuery mkt yet resolved,SERVICE
Also no interaction when I needed most.,SERVICE
KSL is no where reaching interaction point. Bound to fail,SERVICE
Not support customer service...any question..and slow system and others app best,SERVICE
"kotak neo is bad application ,lot of technical issues, its working very pover performance.customer care number is not workking, very bad service.",SERVICE
"Worst ever experience with the team who is not interested to attend the calls, reply the emails & toll free number is just good to listen the music. Management is unbothered to resolve the queries and RM has never call in last 45 days.",SERVICE
Your dealers should be in touch with clients.It should be easy to get in touch with the dealer. The general desk  number for contact is insufficient as very hard to get through at trading times. Mbl numbers should be provided. CURRENTLY KS CUSTOMER SERVICE IS NON-EXISTENT!!!!,SERVICE
Very Bad Experience with Kotak Securities Neo App and Team for grievance resolution.,APPLICATION (WEB/APP)
"You are worth for nothing , useless app  so kuch technical glitched",APPLICATION (WEB/APP)
Very poor website and app.Lot of errors.,APPLICATION (WEB/APP)
Yes interest is to much it excess than other bank,CHARGES(BRO./DP/LPC ETC.)
Not satisfied,NOT SPECIFIED
Yes..covid is gone..its time for human interaction and not bots. A delaer never answers and never calls on time,SERVICE
Very bad app plus no solutions from kotak on queries raised by me from last 4 months. Kindly close company,APPLICATION (WEB/APP)
"lots of bug  technically and logically, need at least a good tester to test whole process step by step.",APPLICATION (WEB/APP)
Neo app crash to much time and so many time i am taking loss due to technical glitch and not working so many minutes of time.Very poor experience want to change broker in couple of month.Sorry but very poor service from full brokerage.,APPLICATION (WEB/APP)
